id,name,description
CNS.MBVC,Business Valuation Consulting Managers,"Manage and direct a business valuation consulting team. Liaise with clients to provide support and resolutions and maintain relationships. Provide advice to clients on financial models, forecasts, projections, and budgets to determine an estimate of their companies' economic value."
CNS.MCHG,Change Consulting Managers,"Manage, oversee, and provide support and guidance to the Change Consulting Team. Provide advice to both staff and clients on potential areas for change, change management strategies, plans, and adoption techniques to ensure changes are successfully implemented and program outcomes and client satisfaction are achieved."
CNS.MCYB,Cyber Security Consulting Managers,"Direct, develop, and manage a cyber security team. Create project plans, oversee projects, and set deliverables, expectations, and timelines to meet client needs and ensure client satisfaction is achieved. Identify, create, and deliver strategies for organizational growth."
CNS.MDAD,Debt Advisory Consulting Managers,"Direct, develop, and manage the debt advisory team. Create project plans, oversee projects, and set deliverables, expectations, and timelines to meet client needs and ensure client satisfaction is achieved. Identify opportunities, and create and deliver strategies for debt management and collection solutions."
CNS.MDAT,Data Consulting Managers,"Lead a range of research and analytical activities, leveraging all available data assets to help solve complex business problems through the development and application of advanced statistical modeling techniques."
CNS.MDIG,Digital Consulting Managers,"Direct, develop, and manage the digital specialist team. Plan, develop, and implement digital marketing strategies and ensure the strategies and implementations meet client needs. Oversee projects, set deliverables, expectations, and timelines."
CNS.MENG,Engineering Consulting Managers,"Direct, develop, and manage the Engineering Consulting team. Oversee the development of project plans, provide engineering advice and technical solutions, and liaise with architects, local authorities, and manufacturers."
CNS.MENT,Enterprise Architecture Consulting Managers,"Direct, develop, and deliver a strategic technological vision and direction. Lead and manage the Software Development and IT teams to deliver software, infrastructure, and architecture that meet the needs of clients. Work with managers to ensure delivery against agreed priorities. Implement processes to monitor, manage, and provide progress on all software development activities."
CNS.MINF,Infrastructure Consulting Managers,"Lead, shape, and drive the workplace solutioning and establishment of complex projects. Be the primary point of contact for Project and Program Managers requiring the establishment of infrastructure. Lead and direct a group of Infrastructure Consultants. Manage risk and ensure all policies and compliance requirements are adhered to."
CNS.MINN,Innovation Consulting Managers,"Lead and direct a group of consultants to help identify growth opportunities, assess existing markets, and identify key industry trends. Work with and support staff to elicit client requirements and understand business needs, shortcomings, and areas for improvement and innovation."
CNS.MKNW,Knowledge Management Consulting Managers,"Lead the knowledge management function, working closely with key stakeholders and management. Drive the strategy, processes, content, and technology related to development. Oversee a team of knowledge management consultants and specialists."
CNS.MLAD,Learning and Development Consulting Managers,"Supervise and provide support to a team of learning and development consultants. Provide regular reporting on the operations of the learning and development department. Partner with executives, senior leaders, and staff to ensure strategic priorities are delivered alongside clients' operational learning needs."
CNS.MMAC,Mergers and Acquisitions Consulting Managers,"Collaborate with Mergers and Acquisitions teams to execute client engagements. Utilize research and analytical skills to identify and articulate client needs, issues, and key risks to provide client management teams with clear recommendations. Identify, investigate, and pursue business development opportunities to generate future opportunities. Prepare financial models and complete financial analysis. Support the day-to-day responsibilities of executing transactions, including interaction with clients, financiers, and legal advisers."
CNS.MOPA,Operations Advisory Consulting Managers,"Oversee and develop a team of operations advisory consultants, as well as transfer knowledge and skills to staff. Help clients solve complex challenges, steer change, strengthen, transition, and grow. Assist in successfully delivering client-based transformation and change programs."
CNS.MPAD,People Advisory Consulting Managers,"Build and manage high-performance teams, build sales leads, develop winning proposals and help close deals, develop thought leadership and influence clients, and deliver innovative HR solutions to drive organizational performance."
CNS.MPEA,Program Evaluation and Assurance Consulting Managers,"Lead, direct, and develop a team of consultants. Work with executive staff to ensure delivery of risk management strategies against agreed priorities. Assist with program planning and design, performance monitoring and reporting, program evaluation, evaluation capability development, mentoring and coaching, program governance, assurance and compliance, post-implementation reviews, and risk management."
CNS.MPRP,Property Consulting Managers,"Develop, implement, monitor, and supervise all programs, budgets, contracts, contracted services, and staff related to property management and maintenance operations. Prepare reports by collecting, analyzing, and summarizing data and trends."
CNS.MRAA,Risk Assurance and Advisory Consulting Managers,"Lead, direct, and develop a team of consultants. Work with senior staff to ensure delivery of risk management strategies against agreed priorities. Provide advice on risk management strategies, implementation, independent assessment, control mitigation evaluation, and assurance to help clients navigate the challenges, changes, and opportunities affecting their business."
CNS.MRSK,Forensic Risk Consulting Managers,"Direct, develop, and deliver a strategic risk management vision and direction. Lead and manage the Forensic Risk team to deliver risk management solutions that meet the needs of clients. Work with managers to ensure delivery against agreed priorities. Implement processes to monitor, manage, and provide progress on all risk management activities."
CNS.MRST,Restructuring Consulting Managers,"Lead a team of restructuring consultants and deliver restructuring engagements for a range of clients. Conduct quantitative and qualitative analysis, analyze financial underperformance, and provide related services."
CNS.MSPC,Supply Chain Consulting Managers,"Lead a team of supply chain consultants. Direct an organization's overall supply chain operations, including purchasing and inventory of raw materials, selection of vendors, and distribution of finished goods. Evaluate past performance data to forecast needs and production scheduling. Develop strategic plans to improve productivity, quality, and efficiency of operations."
CNS.MSTR,Strategy Consulting Managers,"Manage or direct a team of strategy consultants. Plan a company's overarching goals and vision. Work with other managers in the organization to achieve these goals using research, planning, and evaluation. Identify trends in the market, forecast patterns, research the actions of competitors, and eventually formulate cohesive strategies. They may also be responsible for planning training for lower-level employees."
CNS.MTAX,Tax Advisory Consulting Managers,"Manage and direct a tax advisory team. Responsible for a company's tax compliance, tax planning, and accounting for income taxes. Responsible for completion of federal, international, and state income tax returns, including all related analysis and support. Work with financial management within a company and third-party service providers."
CNS.MTEC,Technology Advisory Consulting Managers,Manage and direct a technology advisory team. Oversee technology operations and evaluate them according to established goals. Devise and establish IT policies and systems to support the implementation of strategies set by executive management. Analyze business requirements of all departments to determine their technology needs.
CNS.MTIM,Technology Implementation Consulting Managers,Manage a team of technology implementation consultants and ensure the technology implemented meets client requirements. Provide strategic direction in large implementation projects.
CNS.MTRS,Transaction Services Consulting Managers,Manage a team of transaction services consultants. Analyze client financial information to assess trends and fluctuations that may impact the client's cash flow requirements and deal valuation. May analyze financial and operational results by reviewing accounting records and conducting management interviews.
CNS.MUXP,User Experience Consulting Managers,"Design, conduct, and evaluate studies to understand and improve user experience. Work directly with clients to identify requirements and ensure a positive experience. Train and supervise a team of designers and user experts. Create and track metrics to identify factors that change user experience."
CNS.NAT,Environmental Consultants,"Provide advice on the protection and management of natural resources to companies and governments that exploit these resources. Guide companies on appropriate policies for exploiting natural resources in industrial contexts, raise awareness of health issues, and ensure the conservation of ecosystems for sustainable interventions in natural habitats."
CNS.NRG,Energy Consultants,Advise clients on the advantages and disadvantages of different renewable energy sources for their purposes. Conduct surveys and interviews to research demand for and opinions on renewable energy.
CNS.OPA,Operations Advisory Consultants,Assist clients in becoming more efficient and effective through the delivery of tailored business improvements. Work with clients to build competitive advantage across all aspects of operations.
CNS.PAD,People Advisory Consultants,"Assist clients in successfully managing and sustaining people, processes, and/or technology change. May include the identification and management of stakeholders, leadership development, organizational design, training, cultural assessment and development, talent management, workforce strategies, and planning and executing key communications."
CNS.PEA,Program Evaluation and Assurance Consultants,"Provide clients with consulting services on program planning and design, performance monitoring and reporting, program evaluation, evaluation capability development, mentoring and coaching, program governance, assurance and compliance, post-implementation reviews, and risk management."
CNS.PRP,Property Consultants,"Advise clients on real estate decisions. Provide information about properties to potential buyers, offer financial advice, research the real estate market to stay up to date on current trends, and maintain records and reports for future reference. May assist in the preparation of necessary documentation for buyers."
CNS.RAA,Risk Assurance and Advisory Consultants,"Advise clients on risk management strategies, implementation, independent assessment, control mitigation evaluation, and assurance to help them navigate the challenges, changes, and opportunities affecting their businesses."
CNS.REC,Recruitment Consultants,"Provide suitable candidates to employers according to the specific job profiles requested. Perform testing and interviewing with job seekers, shortlist candidates to present to employers, and match candidates to appropriate jobs. Maintain relationships with employers to offer services on a long-term basis."
CNS.RSK,Forensic Risk Consultants,"Advise on and manage the threat of strategic business risks, such as class action lawsuits, fraud, corruption, and money laundering."
CNS.RST,Restructuring Consultants,"Advise clients on restructuring and insolvency issues, including unsecured insolvency engagements such as voluntary administrations, liquidations, and bankruptcies. Develop insights that assist clients in making better decisions to protect and recover value. Plan, monitor, and execute corporate insolvency engagements."
CNS.SPC,Supply Chain Consultants,"Develop, market, promote, and implement various supply chain consulting strategies. May develop ideas to reduce supply expenses and perform sales tasks to increase revenue growth and client satisfaction."
CNS.SSV,Social Service Consultants,Provide advice and strategic guidance to aid in the development of policies and procedures for social service programs. Research social service programs and identify areas for improvement. Fulfill advisory functions for social service organizations.
CNS.STR,Strategy Consultants,"Plan and conduct complex analyses for clients intended to reduce costs, increase revenue, and make informed decisions critical for company growth and direction. May conduct analyses on market trends, competitors, client requirements, and issues."
CNS.TAX,Tax Advisory Consultants,"Collaborate with clients throughout the year to ensure their tax liability is minimized. Perform research and communicate findings, including changes in tax laws that create opportunities for new tax strategies."
CNS.TEC,Technology Advisory Consultants,"Resolve IT hardware and software issues. Make recommendations regarding technology, vendors, outside consultants, and trading partners. Assist with escalated issues and mentor others in technology-related areas."
CNS.TIM,Technology Implementation Consultants,"Manage end-to-end technology project implementation for clients. Understand client requirements, generate solutions, configure software, and conduct end-user training. Ensure smooth product adoption."
CNS.TRS,Transaction Services Consultants,"Assist clients in achieving their strategic goals. Analyze the financial and operational results of company targets by reviewing accounting records and conducting interviews. Prepare and evaluate financial information to assess trends and fluctuations that may impact cash flow requirements and deal valuation. Identify issues for purchase, deal structuring, or deal termination."
CNS.UXP,User Experience Consultants,"Identify and manage client needs and expectations. Conduct user research and use the information to create sitemaps, customer journey maps, wireframes, and prototypes. Translate requirements into information architecture and user interface (UI) designs, and run usability testing."
CNS.VAL,Business Valuation Consultants,"Provide advice to clients on financial models, forecasts, projections, and budgets to determine an estimate of their companies' economic value."
CON.BLM,Boilermakers,"Construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries. Align structures or plate sections to assemble boiler frames, tanks, or vats, following blueprints. Work involves use of hand and power tools, plumb bobs, levels, wedges, dogs, or turnbuckles. Assist in testing assembled vessels. Direct cleaning of boilers and boiler furnaces. Inspect and repair boiler fittings, such as safety valves, regulators, automatic-control mechanisms, water columns, and auxiliary machines."
CON.BRC,Brickmasons and Blockmasons,"Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances to construct or repair walls, partitions, arches, sewers, and other structures."
CON.CEM,Cement Masons and Concrete Finishers,"Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints."
CON.CMM,Continuous Mining Machine Operators,"Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors, shuttle cars, or trucks in a continuous operation."
CON.CMP,"Painters, Construction and Maintenance","Paint walls, equipment, buildings, bridges, and other structural surfaces using brushes, rollers, and spray guns. May remove old paint to prepare surfaces prior to painting. May mix colors or oils to obtain desired color or consistency."
CON.CNC,Construction Carpenters,"Construct, erect, install, and repair structures and fixtures made of wood, plywood, and wallboard, using carpenters' hand tools and power tools."
CON.DOO,"Derrick Operators, Oil and Gas",Rig derrick equipment and operate pumps to circulate mud or fluid through drill holes.
CON.EDR,Earth Drillers,"Operate a variety of drills, such as rotary, churn, and pneumatic, to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. Includes horizontal and earth boring machine operators."
CON.EQO,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties."
CON.EXM,"Excavating and Loading Machine and Dragline Operators, Surface Mining","Operate or tend machinery at surface mining sites, equipped with scoops, shovels, or buckets to excavate and load loose materials."
CON.EXP,"Explosives Workers, Ordnance Handling Experts, and Blasters","Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures."
CON.FCI,"Insulation Workers, Floor, Ceiling, and Wall","Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials."
CON.FEN,Fence Erectors,"Erect and repair fences and fence gates, using hand and power tools."
CON.FLR,Floor Layers,"Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors."
CON.FSF,Floor Sanders and Finishers,"Scrape and sand wooden floors to smooth surfaces using a floor scraper and floor sanding machine, and apply coats of finish."
CON.GLZ,Glaziers,"Install glass in windows, skylights, storefronts, and display cases, or on surfaces such as building fronts, interior walls, ceilings, and tabletops."
CON.HAZ,Hazardous Materials Removal Workers,"Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earthmoving equipment or trucks."
CON.HBR,"Helpers of Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work areas and equipment."
CON.HCR,Helpers of Carpenters,"Help carpenters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work areas and equipment."
CON.HEL,Helpers of Electricians,"Help electricians by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work areas and equipment."
CON.HEX,Helpers of Extraction Workers,"Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning the work area."
CON.HPA,"Helpers of Painters, Paperhangers, Plasterers, and Stucco Masons","Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work areas and equipment."
CON.HPL,"Helpers of Pipelayers, Plumbers, Pipefitters, and Steamfitters","Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work areas and equipment."
CON.HRF,Helpers of Roofers,"Help roofers by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work areas and equipment."
CON.HWY,Highway Maintenance Workers,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement and repairing guardrails, highway markers, and snow fences. May also mow or clear brush from along roads, or plow snow from roadways."
CON.INS,Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing."
CON.ITM,Mining Instructors,"Design and develop training programs for the mining industry in areas such as operations, health and safety, staff training, new technologies, and new employee orientation. Ensure these programs comply with national and state regulations."
CON.LAB,Construction Laborers,"Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris, and other waste materials. May assist other craft workers."
CON.MCC,Mine Cutting and Channeling Machine Operators,"Operate machinery such as longwall shears, plows, and cutting machines to cut or channel along the face or seams of coal mines, stone quarries, or other mining surfaces to facilitate blasting, separating, or removing minerals or materials from mines or from the Earth's surface. Includes shale planers."
CON.MCI,"Insulation Workers, Mechanical","Apply insulating materials to pipes, ductwork, or other mechanical systems in order to help control and maintain temperature."
CON.MGR,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."
CON.MMIN,Mine Managers,"Direct, plan, control, and coordinate mining production activities, including safety and environmental impact. Oversee the acquisition, installation, maintenance, and storage of mining plant and equipment."
CON.MMMT,Mining Maintenance Managers,"Oversee all aspects of site maintenance, covering the mine itself, the associated processing mill, and related conveyor systems."
CON.MMPR,Project Managers - Mining,"Plan, oversee, and lead mining projects from ideation through completion."
CON.MND,Mine Dispatchers,"Capture, validate, and record mine site data, shift reports, and production reports."
CON.MSIT,Site Managers,"Oversee day-to-day on-site operations of construction projects. Maintain projects within the timescale and budget, and manage any problems that arise."
CON.MSO,Mine Safety Officers,"Oversee health and safety systems at mining operations. Report workplace accidents, compile accident statistics, estimate risks to employee safety and health, and suggest solutions or new measures and techniques."
CON.MTRM,Training Managers - Mining,"Direct, train, assess, and coach mining industry trainers. Lead the design and oversee the delivery of training programs to ensure appropriate technical competency and leadership skills of mining workers are met."
CON.MXW,Mining and Extraction Workers,"Cut channels under the working face to facilitate blasting, using a pick or by operating a cutting machine. Shovel shattered materials into mine cars or onto conveyors. Install timbering, roof bolts, or cribs to support walls and roof. Lay track to accommodate mine cars or track-mounted equipment. May do development work, such as opening up new passageways, air vents, auxiliary tunnels, rooms, and shafts to facilitate mining."
CON.PAP,Paperhangers,"Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters to surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered."
CON.PAV,Segmental Pavers,"Lay out, cut, and place segmental paving units. Includes installers of bedding and restraining materials for the paving units."
CON.PDO,Pile Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers."
CON.PIF,Pipe Fitters and Steamfitters,"Lay out, assemble, install, or maintain pipe systems, pipe supports, or related hydraulic or pneumatic equipment for steam, hot water, heating, cooling, lubricating, sprinkling, or industrial production or processing systems."
CON.PLA,Pipelayers,"Lay pipe for storm or sanitary sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints."
CON.PLM,Plumbers,"Assemble, install, or repair pipes, fittings, or fixtures of heating, water, or drainage systems according to specifications or plumbing codes."
CON.PSM,Plasterers and Stucco Masons,"Apply interior or exterior plaster, cement, stucco, or similar materials. May also set ornamental plaster."
CON.PST,"Paving, Surfacing, and Tamping Equipment Operators","Operate equipment used for applying concrete, asphalt, or other materials to roadbeds, parking lots, or airport runways and taxiways, or for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators."
CON.RBM,"Roof Bolters, Mining",Operate machinery to install roof support bolts in underground mines.
CON.RDO,"Rotary Drill Operators, Oil and Gas","Set up or operate a variety of drills to remove underground oil and gas, or remove core samples for testing during oil and gas exploration."
CON.RFR,Roofers,"Cover roofs of structures with shingles, slate, asphalt, aluminum, wood, or related materials. May spray roofs, siding, and walls with material to bind, seal, insulate, or soundproof sections of structures."
CON.RGC,Rough Carpenters,"Build rough wooden structures, such as concrete forms, scaffolds, tunnels, bridges, or sewer supports, billboard signs, and temporary frame shelters, according to sketches, blueprints, or oral instructions."
CON.RIR,Reinforcing Iron and Rebar Workers,"Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters."
CON.RSQ,"Rock Splitters, Quarry","Separate blocks of rough dimension stone from quarry mass using jackhammers, wedges, or chop saws."
CON.RST,"Roustabouts, Oil and Gas",Assemble or repair oil field equipment using hand and power tools. Perform other tasks as needed.
CON.SEP,Septic Tank Servicers and Sewer Pipe Cleaners,"Clean and repair septic tanks, sewer lines, or drains. May patch walls and partitions of tanks, replace damaged drain tiles, or repair breaks in underground piping."
CON.SFM,Surface Miners,"Perform a range of ancillary surface mining operations, including pumping, dust suppression, and the transport of materials such as sand, stone, and clay to the point of production."
CON.SHM,Sheet Metal Workers,"Fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings. Work may involve any of the following: setting up and operating fabricating machines to cut, bend, and straighten sheet metal; shaping metal over anvils, blocks, or forms using hammers; operating soldering and welding equipment to join sheet metal parts; or inspecting, assembling, and smoothing seams and joints of burred surfaces. Includes sheet metal duct installers who install prefabricated sheet metal ducts used for heating, air conditioning, or other purposes."
CON.SIS,Structural Iron and Steel Workers,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings."
CON.STN,Stonemasons,"Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors."
CON.STP,Steeplejacks,"Scale the outside of buildings and structures and operate equipment designed to perform dangerous and/or critical work at height. Use various tools to work with stone, brick, glass, or metal at great heights while minimizing danger to self and others."
CON.SUO,"Service Unit Operators, Oil and Gas","Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells. Includes fishing tool technicians."
CON.TAP,Tapers,Seal joints between plasterboard or other wallboard to prepare wall surfaces for painting or papering.
CON.TMS,Tile and Stone Setters,"Apply hard tile, stone, and comparable materials to walls, floors, ceilings, countertops, and roof decks."
CON.TRR,Rail-Track Laying and Maintenance Equipment Operators,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators."
CON.TRZ,Terrazzo Workers and Finishers,"Apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces."
CON.UMM,"Loading Machine Operators, Underground Mining","Operate underground loading machines to load coal, ore, or rock into shuttle or mine cars or onto conveyors. Loading equipment may include power shovels, hoisting engines equipped with cable-drawn scrapers or scoops, or machines equipped with gathering arms and conveyors."
CON.UNM,Underground Miners,"Perform a range of ancillary underground mining operations such as inspections, conveyor attendance, and the transport of equipment and consumable materials from the surface to the point of extraction underground."
CON.WHP,Wellhead Pumpers,Operate power pumps and auxiliary equipment to produce the flow of oil or gas from wells in oil fields.
CON.ZAP,Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service streetlights, intercom systems, or electrical control systems."
E.CEO,Chief Executives,"Determine and formulate policies and provide overall direction for companies or private and public sector organizations within guidelines set by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
EDU.ADB,Adult Basic and Secondary Education Teachers,"Teach or instruct out-of-school youth and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential."
EDU.ADM,"Art, Drama, and Music Teachers, Postsecondary","Teach courses in drama, music, and the arts, including fine and applied art such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.AEM,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.AGS,"Agricultural Sciences Teachers, Postsecondary","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.ANA,"Anthropology and Archaeology Teachers, Postsecondary",Teach courses in anthropology or archaeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
EDU.ARC,"Architecture Teachers, Postsecondary","Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.ARV,Archivists,"Appraise, edit, and direct the safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials."
EDU.ASE,"Teaching Assistants, Special Education","Assist preschool, elementary, middle, or secondary school teachers in providing academic, social, or life skills to students who have learning, emotional, or physical disabilities. Serve in positions for which a teacher has primary responsibility for the design and implementation of educational programs and services."
EDU.AVC,Media Collections Specialists,"Prepare, plan, and operate multimedia teaching aids for use in education. May record, catalog, and file materials."
EDU.AVI,Aviation Instructors,"Train both new and experienced pilots seeking to gain licenses or experience in flying new aircraft in how to properly operate an aircraft according to regulations. Teach students the theory and practice of how to optimally fly and maintain an airplane, and observe and evaluate student technique. Includes teachers for recreational flight instruction."
EDU.BIO,"Biological Science Teachers, Postsecondary",Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
EDU.BIZ,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.CAI,Creative Arts Instructors,"Apply a multidisciplinary approach to instruct children and adults about the cultural aspects of music, dance, and visual arts. Define the meaning of culture while also exploring the significance of different art forms and customs throughout history."
EDU.CAM,"Career/Technical Education Teachers, Middle School","Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level."
EDU.CAS,"Career/Technical Education Teachers, Secondary School","Teach occupational, vocational, career, or technical subjects to students at the secondary school level."
EDU.CHM,"Chemistry Teachers, Postsecondary",Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
EDU.COM,"Communications Teachers, Postsecondary","Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.CSC,"Computer Science Teachers, Postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.CUR,Curators,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of the institution."
EDU.DRI,Driving Instructors,"Provide guidance on how to drive a vehicle safely on the roads, enabling students to gain a full understanding of all aspects of driving to increase their skills in a specific area or to obtain a full driving license. Develop the driving ability of their students to make them more responsible, safe, and confident on the road."
EDU.ECO,"Economics Teachers, Postsecondary",Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
EDU.EDU,"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.ELM,Elementary School Teachers,Teach academic and social skills to students at the elementary school level.
EDU.ENF,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.ENG,"Engineering Teachers, Postsecondary","Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.ENL,Enterprise Learning Coordinators,"Support senior staff with initiatives centered around leadership and manager development, talent management, organizational design, onboarding, inclusion and diversity, and employee engagement. Duties may include managing corporate induction, training administration, arranging performance development schemes, supporting the provision of management information, and budget tracking."
EDU.ENV,"Environmental Science Teachers, Postsecondary",Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
EDU.ESE,"Special Education Teachers, Kindergarten and Elementary School","Teach elementary school subjects to educationally and physically handicapped students. Includes teachers who specialize in and work with hearing- and visually-impaired students, as well as those who teach basic academic and life skills to students with intellectual disabilities."
EDU.ETH,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
EDU.FCN,"Forestry and Conservation Science Teachers, Postsecondary",Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
EDU.FHM,Farm and Home Management Educators,"Instruct and advise individuals and families engaged in agriculture, agriculture-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development."
